trip_id,pattern_id,pattern_name
13401906,280849,WB2
13401907,280849,WB2
13401909,280849,WB2
13401912,280849,WB2
13401914,280849,WB2
13401916,280849,WB2
13401918,280849,WB2
13401919,280849,WB2
13401921,280849,WB2
13401926,280849,WB2
13401929,280849,WB2
13402051,280849,WB2
13402052,280849,WB2
13402056,280849,WB2
13402074,280849,WB2
13402079,280849,WB2
13402080,280849,WB2
13402082,280849,WB2
13402092,280849,WB2
13402093,280849,WB2
13402104,280849,WB2
13402105,280849,WB2
13402109,280849,WB2
13402110,280849,WB2
13402111,280849,WB2
13402112,280849,WB2
13402113,280849,WB2
13402114,280849,WB2
13402115,280849,WB2
13402119,280849,WB2
13402120,280849,WB2
13402121,280849,WB2
13402138,280849,WB2
13402139,280849,WB2
13402140,280849,WB2
13402145,280849,WB2
13402251,280849,WB2
13402252,280849,WB2
13402253,280849,WB2
13402254,280849,WB2
13402255,280849,WB2
13402257,280849,WB2
13402258,280849,WB2
13402259,280849,WB2
13402265,280849,WB2
13402272,280849,WB2
13402276,280849,WB2
13402277,280849,WB2
13402294,280849,WB2
13402299,280849,WB2
13402303,280849,WB2
13402304,280849,WB2
13402305,280849,WB2
13402306,280849,WB2
13402308,280849,WB2
13402309,280849,WB2
13402310,280849,WB2
13402311,280849,WB2
13402312,280849,WB2
13402313,280849,WB2
13402314,280849,WB2
13402315,280849,WB2
13402317,280849,WB2
13402325,280849,WB2
13402326,280849,WB2
13463559,280849,WB2
13463561,280849,WB2
13463562,280849,WB2
13464006,280849,WB2
13401819,280850,WB1
13401821,280850,WB1
13401822,280850,WB1
13401823,280850,WB1
13401824,280850,WB1
13401825,280850,WB1
13401826,280850,WB1
13401828,280850,WB1
13401829,280850,WB1
13401835,280850,WB1
13401836,280850,WB1
13401838,280850,WB1
13401839,280850,WB1
13401840,280850,WB1
13401841,280850,WB1
13401842,280850,WB1
13401843,280850,WB1
13401844,280850,WB1
13401847,280850,WB1
13401850,280850,WB1
13401852,280850,WB1
13401853,280850,WB1
13401855,280850,WB1
13401856,280850,WB1
13401859,280850,WB1
13401860,280850,WB1
13401861,280850,WB1
13401864,280850,WB1
13401865,280850,WB1
13401866,280850,WB1
13401867,280850,WB1
13401868,280850,WB1
13401869,280850,WB1
13401873,280850,WB1
13401874,280850,WB1
13401875,280850,WB1
13401876,280850,WB1
13401879,280850,WB1
13401880,280850,WB1
13401881,280850,WB1
13401882,280850,WB1
13401885,280850,WB1
13401886,280850,WB1
13401888,280850,WB1
13401889,280850,WB1
13401891,280850,WB1
13401894,280850,WB1
13401895,280850,WB1
13401896,280850,WB1
13401899,280850,WB1
13401901,280850,WB1
13401902,280850,WB1
13401904,280850,WB1
13401908,280850,WB1
13401910,280850,WB1
13401911,280850,WB1
13401913,280850,WB1
13401917,280850,WB1
13401920,280850,WB1
13401923,280850,WB1
13401924,280850,WB1
13401925,280850,WB1
13401927,280850,WB1
13401928,280850,WB1
13401932,280850,WB1
13401933,280850,WB1
13401934,280850,WB1
13401935,280850,WB1
13401936,280850,WB1
13401938,280850,WB1
13401939,280850,WB1
13401940,280850,WB1
13401942,280850,WB1
13401943,280850,WB1
13401944,280850,WB1
13401945,280850,WB1
13401946,280850,WB1
13401947,280850,WB1
13402050,280850,WB1
13402053,280850,WB1
13402054,280850,WB1
13402057,280850,WB1
